OriginAirportID,cancelled,carrier,weather,nas,security,late
10135,71.0,19.0,2.0,15.0,,5.0
10136,15.0,4.0,4.0,5.0,,3.0
10140,196.0,118.0,3.0,117.0,2.0,33.0
10141,6.0,,,2.0,,
10146,7.0,1.0,,3.0,,
10154,92.0,7.0,,11.0,2.0,
10155,27.0,2.0,,8.0,,2.0
10157,33.0,1.0,,6.0,,
10158,56.0,5.0,,49.0,,
10165,8.0,,,,,
10170,17.0,2.0,,8.0,,
10185,33.0,2.0,1.0,9.0,,1.0
10208,86.0,17.0,3.0,20.0,,3.0
10245,1.0,,,,,
10257,154.0,67.0,5.0,32.0,1.0,16.0
10275,18.0,,,5.0,,
10279,65.0,26.0,,10.0,,1.0
10299,277.0,18.0,1.0,85.0,,6.0
10333,20.0,,,2.0,,
10372,516.0,5.0,3.0,48.0,,1.0
10397,3410.0,805.0,49.0,2219.0,,374.0
10408,115.0,10.0,2.0,23.0,,1.0
10423,861.0,445.0,10.0,472.0,6.0,148.0
10431,377.0,52.0,5.0,55.0,4.0,20.0
10434,20.0,15.0,,4.0,,4.0
10466,42.0,8.0,1.0,34.0,,7.0
10469,16.0,1.0,,,,
10529,300.0,126.0,2.0,88.0,,28.0
10551,8.0,2.0,,16.0,1.0,
10558,17.0,,,2.0,,
10561,17.0,5.0,,5.0,,3.0
10577,12.0,,,,,
10581,155.0,17.0,3.0,12.0,,7.0
10599,209.0,81.0,18.0,77.0,1.0,17.0
10617,19.0,,,,,
10620,32.0,14.0,1.0,10.0,,2.0
10627,36.0,8.0,1.0,22.0,2.0,1.0
10631,7.0,,,6.0,,
10666,17.0,6.0,,11.0,1.0,
10676,28.0,5.0,,8.0,1.0,2.0
10685,27.0,5.0,1.0,4.0,,1.0
10693,1273.0,471.0,15.0,550.0,,168.0
10713,135.0,68.0,5.0,88.0,,14.0
10721,2081.0,483.0,23.0,634.0,1.0,183.0
10728,15.0,2.0,1.0,3.0,,
10731,2.0,,1.0,,,1.0
10732,37.0,15.0,,19.0,,
10739,4.0,,,2.0,,
10747,38.0,11.0,,6.0,,3.0
10754,19.0,,1.0,5.0,3.0,
10781,90.0,14.0,11.0,21.0,,10.0
10785,163.0,36.0,2.0,22.0,,7.0
10792,492.0,82.0,7.0,85.0,,34.0
10800,354.0,91.0,2.0,129.0,,32.0
10821,1127.0,375.0,5.0,664.0,1.0,374.0
10849,82.0,40.0,1.0,32.0,,7.0
10868,106.0,23.0,1.0,19.0,,5.0
10874,44.0,14.0,,9.0,,4.0
10918,5.0,,,,,
10926,14.0,2.0,,8.0,,
10980,85.0,44.0,4.0,35.0,1.0,11.0
10990,72.0,13.0,1.0,8.0,,4.0
10994,431.0,118.0,5.0,128.0,2.0,29.0
11003,192.0,23.0,2.0,32.0,,6.0
11013,10.0,1.0,,3.0,,
11027,5.0,3.0,1.0,2.0,,
11042,707.0,163.0,5.0,166.0,1.0,43.0
11049,28.0,5.0,,2.0,,
11057,2977.0,1533.0,167.0,1545.0,24.0,443.0
11066,481.0,132.0,6.0,176.0,1.0,48.0
11067,21.0,8.0,,5.0,,1.0
11076,30.0,1.0,,3.0,,
11092,2.0,,,,,
11097,5.0,1.0,,5.0,,
11109,140.0,44.0,2.0,42.0,,11.0
11111,36.0,10.0,,7.0,,7.0
11122,13.0,2.0,,3.0,,
11140,66.0,13.0,6.0,17.0,,8.0
11146,41.0,15.0,1.0,20.0,1.0,6.0
11150,22.0,6.0,,7.0,,2.0
11193,577.0,132.0,15.0,122.0,,48.0
11203,6.0,,,,,1.0
11233,14.0,,,,,
11252,53.0,10.0,1.0,5.0,,3.0
11259,786.0,420.0,10.0,378.0,1.0,211.0
11267,92.0,32.0,2.0,23.0,,3.0
11278,2222.0,582.0,20.0,547.0,,196.0
11283,19.0,1.0,,3.0,,
11288,18.0,,,5.0,,
11292,3485.0,1239.0,29.0,1350.0,5.0,539.0
11298,5837.0,2032.0,269.0,2205.0,4.0,478.0
11308,6.0,3.0,,4.0,,1.0
11315,17.0,,,1.0,,
11336,3.0,,,,,
11337,22.0,2.0,,4.0,,1.0
11413,37.0,5.0,2.0,18.0,,
11423,240.0,54.0,2.0,58.0,1.0,13.0
11433,1354.0,304.0,15.0,733.0,,131.0
11447,29.0,,,2.0,,
11468,3.0,1.0,,,,
11471,2.0,,,,,
11481,81.0,47.0,2.0,51.0,,13.0
11503,47.0,22.0,,8.0,2.0,4.0
11525,2.0,,,,,
11537,7.0,1.0,,3.0,,
11540,146.0,78.0,9.0,92.0,1.0,16.0
11587,5.0,1.0,,1.0,,
11603,124.0,24.0,,23.0,1.0,5.0
11612,25.0,6.0,3.0,3.0,,1.0
11617,4.0,1.0,,,,
11618,3250.0,585.0,16.0,646.0,3.0,105.0
11624,216.0,48.0,3.0,55.0,1.0,17.0
11630,40.0,4.0,,9.0,,
11637,65.0,15.0,4.0,22.0,,4.0
11638,88.0,32.0,1.0,42.0,1.0,5.0
11641,14.0,1.0,1.0,1.0,1.0,3.0
11648,32.0,14.0,,6.0,,2.0
11695,8.0,,,7.0,,
11697,1499.0,303.0,19.0,1651.0,10.0,192.0
11721,28.0,3.0,2.0,6.0,,1.0
11725,14.0,,,2.0,,
11775,90.0,16.0,11.0,29.0,,4.0
11778,28.0,5.0,2.0,6.0,,2.0
11823,63.0,12.0,,21.0,,6.0
11865,9.0,1.0,,1.0,,1.0
11867,19.0,5.0,,6.0,,
11884,127.0,45.0,2.0,64.0,1.0,14.0
11898,7.0,,1.0,3.0,,
11905,15.0,3.0,,3.0,,
11921,33.0,11.0,,9.0,,2.0
11953,63.0,15.0,3.0,11.0,,2.0
11973,44.0,17.0,3.0,16.0,,2.0
11977,60.0,4.0,1.0,16.0,,
11980,16.0,2.0,,9.0,,
11982,37.0,9.0,,13.0,,3.0
11986,291.0,68.0,8.0,71.0,,18.0
11995,192.0,42.0,3.0,33.0,,16.0
11996,232.0,87.0,2.0,46.0,1.0,15.0
11997,6.0,,,1.0,,
12003,17.0,2.0,1.0,3.0,,1.0
12007,8.0,1.0,,1.0,,
12012,10.0,1.0,,1.0,1.0,
12016,6.0,,,,,
12094,26.0,11.0,2.0,17.0,,1.0
12119,9.0,1.0,,1.0,,1.0
12124,42.0,15.0,,11.0,,6.0
12129,7.0,,,2.0,,
12156,9.0,,1.0,2.0,,
12173,588.0,175.0,20.0,89.0,2.0,52.0
12177,6.0,1.0,,2.0,,
12191,698.0,233.0,6.0,233.0,1.0,158.0
12197,211.0,52.0,,43.0,,11.0
12206,42.0,22.0,1.0,20.0,,6.0
12217,133.0,8.0,1.0,46.0,,18.0
12223,14.0,3.0,,5.0,,
12250,9.0,4.0,,2.0,,
12255,13.0,1.0,,2.0,,
12264,716.0,117.0,4.0,121.0,,26.0
12265,8.0,,1.0,6.0,,
12266,2354.0,464.0,11.0,733.0,,122.0
12278,115.0,36.0,5.0,22.0,,5.0
12280,17.0,1.0,,7.0,,
12323,141.0,20.0,3.0,35.0,,14.0
12335,9.0,1.0,1.0,3.0,,
12339,632.0,161.0,14.0,181.0,,45.0
12343,8.0,,,1.0,,
12391,92.0,25.0,,12.0,,14.0
12397,24.0,4.0,,1.0,,
12402,60.0,32.0,1.0,2.0,,4.0
12441,85.0,28.0,5.0,22.0,,9.0
12448,86.0,19.0,7.0,29.0,,5.0
12451,469.0,138.0,9.0,135.0,,40.0
12478,2293.0,287.0,14.0,373.0,3.0,135.0
12511,12.0,,,4.0,,
12519,35.0,,,3.0,,
12523,86.0,,,27.0,,
12544,16.0,4.0,1.0,9.0,,1.0
12559,17.0,,,,,
12758,184.0,59.0,4.0,22.0,,19.0
12819,46.0,7.0,1.0,12.0,,
12884,18.0,1.0,,2.0,,
12888,23.0,,,,,
12889,1670.0,900.0,37.0,1412.0,4.0,341.0
12891,37.0,,,7.0,,1.0
12892,1581.0,641.0,5.0,1071.0,1.0,190.0
12896,93.0,20.0,2.0,21.0,,5.0
12898,14.0,,,5.0,,
12899,12.0,,,1.0,,
12902,20.0,,,4.0,,
12915,27.0,1.0,3.0,1.0,,1.0
12917,24.0,3.0,1.0,5.0,,
12945,121.0,35.0,5.0,34.0,1.0,8.0
12951,67.0,6.0,6.0,15.0,1.0,6.0
12953,3846.0,563.0,13.0,546.0,2.0,155.0
12954,91.0,85.0,,54.0,,15.0
12982,148.0,70.0,2.0,11.0,,19.0
12992,130.0,43.0,25.0,49.0,,20.0
13029,13.0,1.0,,1.0,,
13061,28.0,5.0,,12.0,,2.0
13076,6.0,4.0,,1.0,,
13127,6.0,,,3.0,,
13158,126.0,27.0,5.0,43.0,,9.0
13184,31.0,3.0,,12.0,,
13198,591.0,225.0,5.0,206.0,,66.0
13204,2910.0,586.0,52.0,1372.0,4.0,332.0
13211,23.0,,,2.0,,1.0
13230,62.0,24.0,1.0,20.0,,6.0
13232,930.0,346.0,4.0,394.0,,213.0
13241,19.0,,,7.0,,
13244,306.0,106.0,3.0,92.0,,25.0
13256,86.0,20.0,1.0,28.0,,4.0
13264,45.0,5.0,1.0,19.0,,5.0
13277,39.0,7.0,1.0,11.0,,2.0
13290,16.0,5.0,1.0,2.0,,1.0
13296,62.0,30.0,1.0,23.0,,10.0
13303,1878.0,675.0,47.0,674.0,12.0,175.0
13342,402.0,93.0,4.0,90.0,,28.0
13360,43.0,11.0,,2.0,,4.0
13367,85.0,12.0,3.0,26.0,,2.0
13377,26.0,15.0,1.0,3.0,,3.0
13422,37.0,9.0,2.0,11.0,,
13433,35.0,5.0,,5.0,,
13459,9.0,1.0,,10.0,1.0,
13476,42.0,17.0,2.0,23.0,,2.0
13485,157.0,43.0,8.0,31.0,1.0,9.0
13486,49.0,13.0,,21.0,1.0,4.0
13487,1122.0,292.0,28.0,431.0,2.0,113.0
13495,725.0,278.0,9.0,416.0,,94.0
13502,27.0,13.0,,15.0,1.0,5.0
13541,52.0,6.0,1.0,6.0,,2.0
13577,326.0,51.0,3.0,135.0,,13.0
13795,21.0,11.0,,6.0,,
13796,285.0,153.0,1.0,176.0,,74.0
13830,272.0,88.0,8.0,33.0,,31.0
13851,229.0,104.0,6.0,73.0,,14.0
13871,288.0,88.0,3.0,84.0,,29.0
13873,13.0,,,4.0,,
13891,232.0,117.0,,83.0,2.0,23.0
13930,3785.0,1296.0,113.0,1405.0,6.0,289.0
13931,359.0,92.0,5.0,109.0,,29.0
13933,47.0,9.0,,2.0,,2.0
13964,4.0,,,2.0,,1.0
13970,22.0,,,2.0,,
14004,32.0,,,5.0,,
14025,20.0,1.0,1.0,4.0,,1.0
14027,515.0,140.0,9.0,118.0,,44.0
14057,755.0,159.0,4.0,223.0,1.0,38.0
14082,115.0,21.0,2.0,41.0,,9.0
14100,1681.0,542.0,18.0,562.0,5.0,113.0
14107,1178.0,909.0,4.0,913.0,9.0,328.0
14108,63.0,18.0,,14.0,,2.0
14109,18.0,1.0,,2.0,,
14112,218.0,11.0,8.0,71.0,,12.0
14113,,,,1.0,,
14122,624.0,164.0,8.0,261.0,,45.0
14150,16.0,,1.0,6.0,,
14193,167.0,72.0,5.0,82.0,1.0,19.0
14231,1.0,,,,,
14237,4.0,,,4.0,,
14252,25.0,4.0,1.0,13.0,,1.0
14254,21.0,6.0,,2.0,,
14256,11.0,,,6.0,,
14259,8.0,3.0,,1.0,,1.0
14262,139.0,37.0,2.0,41.0,,14.0
14307,172.0,71.0,1.0,46.0,2.0,23.0
14314,13.0,3.0,,8.0,,2.0
14321,252.0,62.0,4.0,42.0,,17.0
14457,62.0,16.0,,21.0,,3.0
14487,7.0,,,2.0,,1.0
14489,111.0,5.0,1.0,26.0,,4.0
14492,924.0,279.0,7.0,233.0,1.0,87.0
14512,14.0,5.0,,5.0,,1.0
14520,7.0,1.0,,3.0,,
14524,249.0,82.0,3.0,129.0,,25.0
14534,11.0,1.0,,3.0,,1.0
14543,7.0,1.0,,3.0,,
14570,177.0,76.0,3.0,81.0,,21.0
14574,67.0,13.0,1.0,14.0,,1.0
14576,206.0,39.0,4.0,62.0,,12.0
14588,26.0,,,12.0,,1.0
14633,13.0,1.0,1.0,11.0,,
14635,803.0,215.0,1.0,179.0,,34.0
14674,44.0,,2.0,9.0,,
14679,1211.0,466.0,23.0,553.0,2.0,133.0
14683,486.0,180.0,7.0,189.0,,41.0
14685,275.0,99.0,10.0,75.0,,18.0
14689,110.0,19.0,,18.0,,7.0
14696,101.0,12.0,2.0,34.0,,4.0
14698,52.0,10.0,,22.0,1.0,2.0
14709,18.0,1.0,,1.0,,
14711,10.0,,,3.0,,
14716,2.0,5.0,,3.0,,1.0
14730,259.0,91.0,4.0,102.0,,19.0
14747,1813.0,416.0,16.0,866.0,5.0,59.0
14761,156.0,45.0,4.0,75.0,1.0,10.0
14771,1793.0,524.0,7.0,558.0,1.0,95.0
14783,108.0,40.0,8.0,44.0,,12.0
14794,9.0,,2.0,11.0,,1.0
14812,14.0,1.0,,3.0,,
14814,89.0,12.0,8.0,16.0,,3.0
14828,24.0,2.0,1.0,6.0,,
14831,339.0,140.0,1.0,179.0,1.0,58.0
14842,22.0,4.0,1.0,4.0,,1.0
14843,439.0,200.0,5.0,320.0,1.0,56.0
14869,706.0,278.0,8.0,385.0,,92.0
14877,16.0,,,4.0,,
14893,398.0,231.0,3.0,224.0,1.0,58.0
14905,,,,1.0,,
14908,404.0,158.0,2.0,153.0,,45.0
14952,2.0,1.0,,,,
14955,2.0,1.0,,,,
14960,13.0,1.0,1.0,4.0,,
14986,571.0,62.0,1.0,80.0,,21.0
15008,2.0,,,,,
15016,705.0,267.0,11.0,291.0,,140.0
15023,18.0,9.0,,30.0,,5.0
15024,60.0,21.0,3.0,43.0,,16.0
15027,14.0,10.0,1.0,22.0,2.0,1.0
15041,22.0,1.0,,5.0,,
15048,14.0,1.0,,4.0,,1.0
15070,7.0,1.0,,2.0,,
15074,15.0,2.0,2.0,3.0,,
15096,202.0,48.0,,34.0,,14.0
15249,104.0,29.0,6.0,39.0,,14.0
15295,4.0,5.0,1.0,4.0,,
15304,1985.0,385.0,23.0,456.0,,118.0
15323,22.0,7.0,,6.0,,1.0
15356,59.0,4.0,,1.0,,2.0
15370,171.0,73.0,4.0,59.0,,10.0
15376,133.0,48.0,3.0,68.0,,7.0
15380,49.0,11.0,,25.0,,2.0
15389,2.0,,,3.0,,
15401,21.0,4.0,,2.0,,
15411,30.0,3.0,,3.0,,1.0
15412,257.0,65.0,5.0,53.0,,19.0
15569,16.0,,,1.0,,
15582,,1.0,,1.0,,
15607,17.0,2.0,,2.0,,
15624,117.0,60.0,1.0,56.0,,8.0
15841,11.0,,,6.0,,
15897,4.0,,,1.0,,
15919,120.0,46.0,14.0,47.0,1.0,12.0
15991,16.0,,,5.0,,
16218,6.0,2.0,,5.0,1.0,1.0
16869,31.0,4.0,,8.0,,
